0,8,6,3,2,5,6,9,2,8,4
1,8,4,10,7,4,6,7,1,2,2
2,9,3,10,10,3,4,3,5,5,2
3,10,10,5,2,5,4,4,4,7,4
4,9,4,2,8,9,3,9,3,10,4
5,5,2,7,8,4,1,10,3,5,2
6,7,6,7,4,4,5,3,2,4,2
7,8,5,2,5,10,7,10,7,10,4
8,1,6,1,4,7,6,10,2,3,4
9,3,7,8,7,10,6,7,6,9,4
10,5,4,3,2,3,7,1,6,1,4
11,4,2,10,10,3,4,1,2,8,2
12,1,2,2,3,2,3,4,4,1,2
13,10,5,8,7,2,2,1,8,9,2
14,10,10,7,10,3,5,3,2,6,4
15,10,4,9,8,10,6,7,10,6,4
16,3,6,10,8,8,10,6,4,3,4
17,4,6,4,5,4,8,8,10,5,2
18,4,9,3,4,9,1,8,8,3,2
19,2,9,2,10,6,2,8,10,8,2
20,7,7,8,7,10,10,9,3,9,4
21,5,9,3,3,6,10,2,5,2,4
22,8,10,9,6,8,4,9,2,7,2
23,4,5,1,9,4,5,8,5,2,2
24,3,2,2,6,2,2,6,5,8,2
25,3,6,10,10,4,1,5,6,4,2
26,2,4,8,3,1,10,10,8,9,2
27,2,4,8,7,8,6,8,6,9,2
28,10,7,3,5,10,5,4,1,2,4
29,10,10,5,5,6,7,5,1,4,4
30,3,2,5,4,8,2,4,9,6,2
31,6,4,5,3,4,3,1,2,1,2
32,4,8,3,8,2,4,4,3,8,4
33,4,2,4,8,7,2,9,8,7,2
34,6,7,1,3,10,3,6,5,2,4
35,6,1,6,6,1,9,1,7,2,2
36,8,5,5,5,7,2,8,2,2,2
37,1,1,4,10,6,10,4,4,8,4
38,4,9,1,3,8,6,10,4,10,4
39,7,3,6,5,3,7,1,6,2,2
40,8,1,9,4,3,10,5,8,4,2
41,8,9,7,7,8,10,8,2,2,4
42,10,2,5,4,9,1,2,8,5,4
43,4,6,3,4,8,8,4,1,9,4
44,10,4,2,9,6,9,6,2,4,4
45,4,4,7,5,1,1,10,1,7,2
46,5,3,2,4,8,9,8,3,8,4
47,7,4,8,3,1,4,2,3,1,2
48,6,5,4,9,6,3,1,8,10,4
49,8,2,7,1,3,2,6,8,8,2
50,6,6,7,3,4,4,4,5,2,2
51,9,7,1,2,2,9,7,6,6,4
52,4,2,6,2,9,1,7,8,8,2
53,8,9,5,1,2,1,3,8,7,2
